"offset","source","target","note"
"0xc5270","My feelings exactly.","正合我意",""
"0xc52a6","This concludes our meeting.","本次會議到此結束",""
"0xc52c2","Thank you for attending.","感謝各位出席",""
"0xc52db","  INFO  ","  情報  ",""
"0xc52e4"," ENTER  ","  確定  ",""
"0xc531a","C0%-4s  %4d","",""
"0xc5327","C%c%2d","",""
"0xc532e","chk_kankei","",""
"0xc5359","C0%5d+%5d","",""
"0xc5364","C0%11d","",""
"0xc536c","C0 (%2d)%6d","",""
"0xc5378","Navy","海軍",""
"0xc537d","Army","陸軍",""
"0xc5382","Foreign","外交",""
"0xc538a","Bases","基地",""
"0xc5390","Technology","技術",""
"0xc539b","Government","政府",""
"0xc53a7","C0(%2d)%6d","",""
"0xc53b2","Spy Tech","諜報技術",""
"0xc53bb","Naval Tech","海軍技術",""
"0xc53c6","Aeronautic","航空",""
"0xc53d1","Weaponry","武器",""
"0xc53da","Industry","產業",""
"0xc53e3","Will you state your ideas?","請陳述您的意見",""
"0xc549c","Army Div.","陸軍師團",""
"0xc54a6","Army Div.","陸軍師團",""
"0xc54b7","0Marines","0陸戰隊",""
"0xc54c0","Marines","陸戰隊",""
"0xc54da","%4d-%4d","",""
"0xc54e6","C7Near %s","C7%s附近",""
"0xc54f0","Post","據點",""
"0xc54f5","Base","基地",""
"0xc54fa","the %s %s","%s%s",""
"0xc5508","C7Near %s","C7%s附近",""
"0xc5512","A.F.","空軍",""
"0xc5517","OFFENSE","攻擊",""
"0xc551f","DEFENSE","防衛",""
"0xc5528","B1%s ","",""
"0xc5540","C7Forces %3d(-%2d) ->%3d","C7兵力 %3d(-%2d) ->%3d","Forces=兵力"
"0xc555d","C%d%s","",""
"0xc5567","C7Tanks  %3d(-%2d) ->%3d","C7戰車  %3d(-%2d) ->%3d","Tanks=戰車"
"0xc5588","%s %s Fleet A.F.","%s %s 艦隊航空","A.F.=航空隊；因長度限制縮為「艦隊航空」"
"0xc5599","%s %s Base A.F.","%s %s 基地航空","基地航空隊縮為「基地航空」"
"0xc55ad","C7Planes %3d(-%2d) ->%3d","C7飛機 %3d(-%2d) ->%3d",""
"0xc55ca","C%d%s Base","C%d%s基地",""
"0xc55d9","C7Yield  %3d(-%2d) ->%3d","C7產量  %3d(-%2d) ->%3d","Yield=產量"
"0xc55f2","%s %s Commander","%s %s 司令","Commander=司令(術語表)"
"0xc5603","Win this war for us...","為我國贏得此戰……","……為 big5 省略號"
"0xc561a","%s %s Commander","%s %s 司令","Commander=司令(術語表)"
"0xc562b","Win this war for us...","為我國贏得此戰……","……為 big5 省略號"
"0xc5653","%s Fleet A.F.","%s艦隊航空隊","去空格以容納「航空隊」"
"0xc5661","%s A.F.","%s航空","長度僅7 bytes，A.F.縮為「航空」"
"0xc5669","%s Base","%s基地",""
"0xc5672","%16s","",""
"0xc5677","%16s","",""
"0xc567c","%-16s","",""
"0xc5682","%-16s","",""
"0xc568f","HIT ANY KEY","請按任意鍵",""
"0xc56a8","SAVEDATA.TK2","",""
"0xc56b6","BMAP.TK2","",""
"0xc56c0","SHIP.TK2","",""
"0xc56ca","TANK.TK2","",""
"0xc56d4","PLANE.TK2","",""
"0xc56de","SENSUI.TK2","",""
"0xc56ea","MEIREI.TK2","",""
"0xc56f6","JOGEN.TK2","",""
"0xc5700","LOGO.TK2","",""
"0xc570a","WAKU1.TK2","",""
"0xc5714","SCESETSU.TK2","",""
"0xc5722","GAIJI.TK2","",""
"0xc572c","COMPIC.TK2","",""
"0xc5738","EVPIC.TK2","",""
"0xc5742","RUMAP.TK2","",""
"0xc574c","PHASE.TK2","",""
"0xc5756","MAKE.TK2","",""
"0xc5760","KAO.TK2","",""
"0xc5768","NWEAPON.TK2","",""
"0xc5774","MMAP.TK2","",""
"0xc577e","WAKU2.TK2","",""
"0xc5788","BATTLE.TK2","",""
"0xc5794","LAND.TK2","",""
"0xc579e","COAST.TK2","",""
"0xc57a8","HARBOR.TK2","",""
"0xc57b4","LANDUNIT.TK2","",""
"0xc57c2","LANDBACK.TK2","",""
"0xc57d0","MSG1.TK2","",""
"0xc57da","SCESTART.TK2","",""
"0xc57e8","KNDATA","",""
"0xc57f0","NCTDATA","",""
"0xc57f8","KCKKDATA","",""
"0xc5802","KKDATA","",""
"0xc580a","KDATA","",""
"0xc5810","KSDATA","",""
"0xc5818","KTDATA","",""
"0xc5820","SJDATA","",""
"0xc5828","ARDATA","",""
"0xc5830","GRDATA","",""
"0xc5838","NVDATA","",""
"0xc5840","AMDATA","",""
"0xc5848","PLDATA","",""
"0xc5850","TKDATA","",""
"0xc5858","NSDDATA","",""
"0xc5860","NRKDATA","",""
"0xc5868","STDATA","",""
"0xc5870","SSDATA","",""
"0xc5878","KAICG.TK2","",""
"0xc5882","KAIANM.TK2","",""
"0xc588e","KAIMSG.TK2","",""
"0xc589a","DBFILE.TK2","",""
"0xc58a6","SBT.TK2","",""
"0xc58ae","KSNAME.TK2","",""
"0xc58ba","SSNAME.TK2","",""
"0xc58c6","NGAIJI.TK2","",""
"0xc58d2","EVMSG.TK2","",""
"0xc58dc","EDATA.TK2","",""
"0xc58f5","OPEN.AVI","",""
"0xc58fe","PLANE.PAL","",""
"0xc5922"," YES  "," 是 ",""
"0xc5929","  NO  "," 否 ",""
"0xc5953","R%c%s","",""
"0xc595a","Is this OK?","可以嗎？","因長度限制精簡"
"0xc5980","%3d - %3d","",""
"0xc598e","B0%12s","",""
"0xc5999","B0Force","B0軍力","與選單 FORCE 一致譯軍力"
"0xc59b0","B0 Oil  Matl","B0 油料 資材","Oil/Matl=油料/資材"
"0xc59c8","$}Poor    Avg.    Rich","$}貧乏    普通    豐富","$} 為控制碼；資源豐瘠等級"
"0xc59df","Poor    Avg.    Rich","貧乏    普通    豐富",""
"0xc59f4"," FLEET  "," 艦隊  ",""
"0xc59fd","RESOURCE","資源",""
"0xc5a06"," FORCE  "," 軍力  ",""
"0xc5a0f","  NET   "," 連線  ","NET=連線對戰"
"0xc5a18","  BASE  "," 基地  ",""
"0xc5a21","  END   "," 結束  ",""
"0xc5a32","B0%2d","",""
"0xc5a48","B0 SUB.","B0 潛艇","SUB.=潛艇"
"0xc5a54","B0%2d","",""
"0xc5a6a","B7 SUB.","B7 潛艇",""
"0xc5a8a","Move","移動",""
"0xc5a8f","Plan","計畫",""
"0xc5a9f","C0Navy Budget%11d","C0海軍預算%11d",""
"0xc5ab1","Naval Materials%7d","海軍資材%7d",""
"0xc5ac4","budget","預算",""
"0xc5acb","materials","資材",""
"0xc5ad5","There are not enough %s.","%s不足。",""
"0xc5b03","C0Days required%10d","C0所需天數%10d",""
"0xc5b17","ENTER","確定",""
"0xc5b1d","CANCEL","取消",""
"0xc5b24","Please name your ship.","請為軍艦命名。",""
"0xc5b42","B1%s  %s Class","B1%s  %s級","Class=艦級"
"0xc5b58","B1Name: %-12s","B1名稱: %-12s",""
"0xc5b70","warship","軍艦",""
"0xc5b79","warship","軍艦",""
"0xc5b81","ENTER","確定",""
"0xc5b87","CANCEL","取消",""
"0xc5b95","B1%s Class","B1%s級",""
"0xc5ba7","B1Name: %-11s","B1名稱: %-11s",""
"0xc5bbf","submarine","潛艇",""
"0xc5bca","submarine","潛艇",""
"0xc5bd4","set_koutype","",""
"0xc5be0","set_yobiki","",""
"0xc5c08","%3d%5d%7d%7d%6d/%4d","",""
"0xc5c1c","transport","運輸",""
"0xc5c3e","%-12s ","",""
"0xc5c45","%-4s","",""
"0xc5c4e","%4d%5d%5d%5d","",""
"0xc5c5b","%5d%6d%3d/%2d%3d%3d/%2d ","",""
"0xc5c78","B1%3d ","",""
"0xc5c7f","%2d mo","%2d月","mo=月"
"0xc5ca4","B1 %2d %-13s","",""
"0xc5cb1","%-11s","",""
"0xc5cb7","%2d%6d%3d/%2d%3d   ","",""
"0xc5ccb","%d mo","%d月",""
"0xc5cd1"," DESIGN"," 設計",""
"0xc5cd9"," BUILD"," 建造",""
"0xc5ce0"," SCUTTLE"," 自沉",""
"0xc5ce9"," END","結束","長度僅4 bytes，去掉前導空白"
"0xc5cee"," Design"," 設計",""
"0xc5cf6"," WARSHIP "," 軍艦 ",""
"0xc5d00","SUBMARINE","潛艇",""
"0xc5d0a"," NEW SHIP"," 新造艦",""
"0xc5d28"," Build"," 建造",""
"0xc5d2f","WARSHIP ","軍艦",""
"0xc5d38","SUBMARINE","潛艇",""
"0xc5d42","AIRCRAFT","飛機","建造類別，譯飛機"
"0xc5d4b","TRANSPORT","運輸艦",""
"0xc5d6e"," Scuttle"," 自沉",""
"0xc5d77"," WARSHIP "," 軍艦 ",""
"0xc5d81","SUBMARINE","潛艇",""
"0xc5d9c","What would you like to do?","您要執行什麼？",""
"0xc5e6f","  ENTER  ","  確定  ",""
"0xc5e92","type2no","",""
"0xc5e9a","Type2AboutType","",""
"0xc5ea9"," DONE "," 完成 ",""
"0xc5eb0","%5d ","",""
"0xc5eb5"," INC. "," 增加 ","INC.=增加"
"0xc5ebc","  ENTER   ","  確定   ",""
"0xc5ec7","  CANCEL  ","  取消  ",""
"0xc5ef1","B=%-11s%2d/%2d","",""
"0xc5f00","Stern","艦尾",""
"0xc5f06","Port","左舷","舷側 Port=左舷"
"0xc5f0f","Starboard","右舷",""
"0xc5f19","Speed","速力",""
"0xc5f1f","Material","材質",""
"0xc5f28","vs Air","對空",""
"0xc5f2f","Aircraft","飛機","艦艇性能欄，譯飛機"
"0xc5f38","vs Fleet","對艦",""
"0xc5f41","Torp.Power","魚雷威力",""
"0xc5f4c","Speed","速力",""
"0xc5f52","Material","材質",""
"0xc5f5b","Armor","裝甲",""
"0xc5f61","Torp.Power","魚雷威力",""
"0xc5f73","B=%s Class","B=%s級",""
"0xc5f85","B0Capacity","B0容量",""
"0xc5f90","Rest:%4d/%4d","餘:%4d/%4d","Rest=剩餘，因長度縮為「餘」"
"0xc5fa4","B0%s (%2d/%2d)","",""
"0xc5fba","B0%s","",""
"0xc5fc1","Please design the ship.","請設計軍艦。",""
"0xc5fe6","Please design the submarine.","請設計潛艇。",""
"0xc600d","New%d","",""
"0xc6013","What warship will you design?","要設計哪種軍艦？",""
"0xc6031","It has not been completed.","尚未完成。",""
"0xc604c","Completed.","完成。",""
"0xc60ce","%-16s","",""
"0xc60d4","Commander","司令",""
"0xc60de","%-12s","",""
"0xc60e8","C7%s","",""
"0xc60fc","B0%s","",""
"0xc6111","Combined","聯合","聯合艦隊"
"0xc611a","Pacific","太平洋",""
"0xc61b0","Victory Conditions","勝利條件",""
"0xc61c3","Combined","聯合","聯合艦隊"
"0xc61cc","Pacific","太平洋",""
"0xc61d4","Staff","幕僚",""
"0xc61da","Operations","作戰",""
"0xc61e6","SAVEDATA2.TK2","",""
"0xc61f4"," What will you do?"," 將如何行動？",""
"0xc6207","     NEW GAME","    新遊戲","主選單; 保留前導空白比例"
"0xc6215","    LOAD GAME","    讀取進度",""
"0xc6223"," LISTEN TO MUSIC","   聆聽音樂",""
"0xc624a","CANCEL","取消",""
"0xc62ae","The Day of Infamy   ","恥辱之日  ","劇本名; 保留尾隨空白"
"0xc62c3","The Brink of War    ","戰爭邊緣  ","劇本名"
"0xc62d8","Counter Offensive   ","反攻作戰  ","劇本名"
"0xc62ed","Approaching V-Day   ","勝利日迫近  ","劇本名; V-Day=勝利日"
"0xc6302","Southern Operation  ","南方作戰  ","劇本名"
"0xc6317","Battle of Midway    ","中途島海戰  ","劇本名"
"0xc632c","U.S.-Australia Plan ","美澳作戰計畫  ","劇本名"
"0xc6341","Operation A-GO      ","亞號作戰  ","劇本名; A-GO=あ号作戦"
"0xc6356","Battle at Leyte     ","雷伊泰海戰  ","劇本名"
"0xc636b","The Final Days      ","最終之日  ","劇本名"
"0xc6381","C0%d.%s %s","","控制碼C0+格式符, 無文字"
"0xc638d","C%c%d.%s %s","","控制碼+格式符, 無文字"
"0xc639d"," Which will you play?"," 你要選擇哪一方?",""
"0xc63b3","       U.S.A.       ","        美國        ","置中對齊"
"0xc63c8","       JAPAN        ","        日本        ","置中對齊"
"0xc63dd","     BOTH SIDES     ","       雙方       ","置中對齊"
"0xc63f2","      DEMO GAME     ","      示範遊戲     ","置中對齊"
"0xc6420"," View which?"," 觀看哪方?",""
"0xc642d","       U.S.A.       ","        美國        ",""
"0xc6442","       JAPAN        ","        日本        ",""
"0xc6478","There is no saved data.","沒有存檔資料。",""
"0xc6490","Not saved data.","無存檔資料。",""
"0xc64ad","Loading...","讀取中...",""
"0xc6519","  START","  開始",""
"0xc6521"," CANCEL"," 取消",""
"0xc653a","!AZ@","","技術字串!AZ@, 不翻"
"0xc6542","SCE0.AVI","","檔名"
"0xc654b","SCE1.AVI","","檔名"
"0xc6554","SCE2.AVI","","檔名"
"0xc655d","SCE3.AVI","","檔名"
"0xc6566","SCE4.AVI","","檔名"
"0xc656f","SCE5.AVI","","檔名"
"0xc6578","SCE6.AVI","","檔名"
"0xc6581","SCE7.AVI","","檔名"
"0xc658a","SCE8.AVI","","檔名"
"0xc6593","SCE9.AVI","","檔名"
"0xc65aa","Making Save Data File...","建立存檔檔案中...",""
"0xc65d2",".KOB","","副檔名"
"0xc65d7","TMP.MID","","檔名"
"0xc65df",".KOS","","副檔名"
"0xc65e4","TMP.WAV","","檔名"
"0xc65ec","File write error.","檔案寫入錯誤。",""
"0xc65fe",".KOB","","副檔名"
"0xc6603","TMP.MID","","檔名"
"0xc660b",".KOS","","副檔名"
"0xc6610","TMP.WAV","","檔名"
"0xc661e","cdaudio","","MCI 裝置名, 不翻"
"0xc662e","waveaudio","","MCI 裝置名, 不翻"
"0xc6638","WTEK2001.KOS","","檔名"
"0xc6645","WTEK2002.KOS","","檔名"
"0xc6652","WTEK2003.KOS","","檔名"
"0xc665f","WTEK2004.KOS","","檔名"
"0xc666c","WTEK2005.KOS","","檔名"
"0xc6679","WTEK2006.KOS","","檔名"
"0xc6686","WTEK2007.KOS","","檔名"
"0xc6693","WTEK2008.KOS","","檔名"
"0xc66a0","WTEK2009.KOS","","檔名"
"0xc66ad","WTEK2010.KOS","","檔名"
"0xc66ba","WTEK2011.KOS","","檔名"
"0xc66c7","WTEK2012.KOS","","檔名"
"0xc66d4","WTEK2013.KOS","","檔名"
"0xc66e8","SGRP.TK2","","檔名"
"0xc6746","Can't open CD-ROM DEVICE.","無法開啟光碟機。",""
"0xc6760"," Base"," 基地",""
"0xc6766"," Post"," 據點","Post=據點"
"0xc676c","Navy","海軍",""
"0xc6771","Army","陸軍",""
"0xc677d","CMarines","C陸戰隊","C 為控制碼"
"0xc6786","Marines","陸戰隊",""
"0xc6793","C0ARAdm","","C0ARAdm 控制碼結構不確定, 留空"
"0xc679b","VAdm","中將","VAdm"
"0xc67a4","FAdm","元帥","FAdm=Fleet Admiral 縮寫"
"0xc67b7","CxCRear Admiral","CxC少將","CxC 為控制碼; Rear Admiral=少將"
"0xc67c7","Vice Admiral","中將",""
"0xc67d4","Admiral","上將","海軍軍階 Admiral=上將(非術語表之將領, 此處為軍階)"
"0xc67dc","Fleet Admiral","元帥",""
"0xc67ea","Major Genaral","少將","陸軍軍階; 原文拼字 Genaral"
"0xc67f8","Lt. General","中將",""
"0xc6804","General","上將",""
"0xc680c","Gen. of Army","五星上將","Gen. of Army=陸軍五星上將"
"0xc6819","Move","移動",""
"0xc681e","Supply","補給",""
"0xc6825","Engage","交戰",""
"0xc682c","Strike","空襲","Strike=航空打擊"
"0xc6833","Shell","砲擊",""
"0xc6839","Land","登陸",""
"0xc683e","Patrol","巡邏",""
"0xc6845","Attack","攻擊",""
"0xc684c","Port","入港",""
"0xc6851","Sabotage","破壞","Sabotage"
"0xc685a","Patrol","巡邏",""
"0xc6861","Attack","攻擊",""
"0xc6877","CPatrol","C巡邏","C 為控制碼"
"0xc687f","Attack","攻擊",""
"0xc6886","Defend","防禦",""
"0xc6899","DOccupy","D佔領","D 為控制碼"
"0xc68a1","Defend","防禦",""
"0xc68be"," Command"," 指揮",""
"0xc68c7"," INFO"," 情報",""
"0xc68da"," Select"," 選擇",""
"0xc68e2"," ORDER"," 命令",""
"0xc68e9"," CANCEL"," 取消",""
"0xc68f1"," INFO"," 情報",""
"0xc6929","seas.","海域","句片段, 受限放不下句點"
"0xc692f","the surrounding seas.","周邊海域。",""
"0xc6945","the surrounding seas.","周邊海域。",""
"0xc6973","D%dth","D第%d","D 為控制碼; 序數尾碼 th 改為前置「第」"
"0xc6979","%dst","第%d","st→第"
"0xc697e","%dnd","第%d","nd→第"
"0xc6983","%drd","第%d","rd→第"
"0xc6995","EbE999th","","EbE 控制碼結構不確定, 留空"
"0xc69b1","%2d / %2d / %4d","","純格式符"
"0xc69d3","%s %s Army Div","%s %s 陸軍師團",""
"0xc69e2","%s %s Army Div","%s %s 陸軍師團",""
"0xc69fa","%s %s Fleet","%s %s 艦隊",""
"0xc6a06","%s %s Fleet","%s %s 艦隊",""
"0xc6a12","Jan.","1月",""
"0xc6a17","Feb.","2月",""
"0xc6a1c","Mar.","3月",""
"0xc6a21","Apr.","4月",""
"0xc6a2a","Jun.","6月",""
"0xc6a2f","Jul.","7月",""
"0xc6a34","Aug.","8月",""
"0xc6a39","Sep.","9月",""
"0xc6a3e","Oct.","10月",""
"0xc6a43","Nov.","11月",""
"0xc6a48","Dec.","12月",""
"0xc6a4d","Japan","日本",""
"0xc6a53","U.S.A.","美國",""
"0xc6a5a","England","英國",""
"0xc6a62","Holland","荷蘭",""
"0xc6a6a","Australia","澳大利亞",""
"0xc6a74","U.S.S.R.","蘇聯",""
"0xc6a7d","China","中國",""
"0xc6a83","Thailand","泰國",""
"0xc6a8c","Germany","德國",""
"0xc6ab8","clear","晴","天氣"
"0xc6abe","cloudy","陰","天氣 cloudy"
"0xc6ac5","rain","雨","天氣"
"0xc6ace","snow","雪","天氣"
"0xc6ad3","storm","暴風","天氣 storm"
"0xc6af1","ECarrier","E空母","E 為控制碼; 長度受限用空母"
"0xc6afa","Light Carrier","輕型航空母艦",""
"0xc6b08","Dreadnought","無畏艦","Dreadnought"
"0xc6b14","Battleship","戰艦",""
"0xc6b1f","Heavy Cruiser","重巡洋艦",""
"0xc6b2d","Light Cruiser","輕巡洋艦",""
"0xc6b3b","Destroyer","驅逐艦",""
"0xc6b45","Submarine","潛艇",""
"0xc6b69","Fleet Fighter","艦上戰鬥機",""
"0xc6b77","Land Fighter","陸上戰鬥機",""
"0xc6b84","Fleet Bomber","艦上轟炸機",""
"0xc6b91","Fleet Attack","艦上攻擊機",""
"0xc6b9e","Land Attack","陸上攻擊機",""
"0xc6baa","Navy Scout","海軍偵察機",""
"0xc6bb5","Str. Bomber","戰略轟炸機",""
"0xc6bc1","Army Fighter","陸軍戰鬥機",""
"0xc6bce","Army Bomber","陸軍轟炸機",""
"0xc6bda","Army Scout","陸軍偵察機",""
"0xc6be5","Str. Bomber","戰略轟炸機",""
"0xc6c12","Vertical","縱向","隊形"
"0xc6c1b","Double","雙列","隊形 Double"
"0xc6c22","Horizontal","橫向","隊形"
"0xc6c2d","Diagonal","斜向","隊形"
"0xc6c36","Circular","環形","隊形 Circular"
"0xc6c53","FFleet","F艦隊","F 為控制碼"
"0xc6c5a","Base A.F.","基地航空","Base A.F.; 長度受限略去「隊」"
"0xc6c64","Marines","陸戰隊",""
"0xc6c6c","Marines","陸戰隊",""
"0xc6c74","Army Div","陸軍師團",""
"0xc6c7d","L.Force","陸軍","L.Force=Land Force, 長度受限"
"0xc6c85","Unit","部隊",""
"0xc6c8a","Submarine","潛艇",""
"0xc6c94","fleet","艦隊",""
"0xc6c9a","base A.F.","基地航空",""
"0xc6ca4","marines","陸戰隊",""
"0xc6cac","marines","陸戰隊",""
"0xc6cb4","army division","陸軍師團",""
"0xc6cc2","land force","陸軍",""
"0xc6ccd","unit","部隊",""
"0xc6cd2","submarine","潛艇",""
"0xc6d0c","We have a report from the %s. ","收到%s的報告。","尾隨空白省略"
"0xc6d6d","C%c%s","","控制碼+格式符, 無文字"
"0xc6d74"," Command"," 指揮",""
"0xc6d7d","ORDER","命令",""
"0xc6d83","CANCEL","取消",""
"0xc6d8a","SCUTTLE","自沉",""
"0xc6da6","CV:%d BB:%d CA:%d DD:%d","航%d 戰%d 巡%d 驅%d","CV/BB/CA/DD 艦種統計, 以單字中文代船體代號"
"0xc6dbe","Details unknown.","詳情不明。",""
"0xc6dcf","not ","不","句片段 not"
"0xc6dd5","%s A.F.","%s空軍","A.F.=Air Force, 長度受限"
"0xc6de3","%s A.F.","%s空軍",""
"0xc6df1","C0%s","","控制碼C0+格式符, 無文字"
"0xc6e14","%-12s","","純格式符"
"0xc6e2e","Yield%4d/%2d","產量%4d/%2d","Yield=產量"
"0xc6e45","Navy Matl %s","海軍資材 %s","Matl=資材"
"0xc6e5c","Army Matl %s","陸軍資材 %s",""
"0xc6e69","Truck%2d","卡車%2d",""
"0xc6e72","Trans%2d %s","運輸%2d %s",""
"0xc6e7e","Trans?? Truck??","運輸?? 卡車??",""
"0xc6e8e","Build","建造",""
"0xc6ebb","Harbor   %5s ","港口   %5s ","Harbor=港口"
"0xc6ec9","Build","建造",""
"0xc6ef6","Dock     %-5s ","船塢   %-5s ","Dock=船塢"
"0xc6f05","Build","建造",""
"0xc6f25","Airfld   %5s ","機場   %5s ","Airfld=機場"
"0xc6f42","C7day%1s","C7天%1s","C7 控制碼保留"
"0xc6f4e","ORDER","命令",""
"0xc6f54","ASSIGN","配屬",""
"0xc6f5b","PERSONNEL","人事",""
"0xc6f65","INFO","資訊",""
"0xc6f6a","ARMAMENT","武裝",""
"0xc6f73","OPTION","選項",""
"0xc6f7a","EXECUTE","執行",""
"0xc6faa","C0%s","","C0 控制碼+純格式符，留空"
"0xc6fc0"," GUN RANGE"," 主砲射程",""
"0xc6fcb"," AIR RANGE"," 航空射程",""
"0xc6fd6"," ENTER"," 確定",""
"0xc6fdd"," CANCEL"," 取消",""
"0xc6fe9","B1%s","","B1 控制碼+純格式符，留空"
"0xc6fee","%-12s","","純格式符"
"0xc6ff4","%3d-%3d","","純格式符"
"0xc6ffc","Pos. %9s","位置 %9s",""
"0xc7005","Spd. %3d knots","航速 %3d 節","knots=節"
"0xc7014","Armor%2d Torp%3d","裝甲%2d 魚雷%3d",""
"0xc7025","Mat'l%3d(%3d%%)","資材%3d(%3d%%)",""
"0xc7035","SeaR","索敵","SeaR=Sea Range 索敵"
"0xc703a","/GunR","/砲擊","GunR"
"0xc7040","None","無",""
"0xc7045","Arms %9s","兵力 %9s",""
"0xc704e","None ","無 ","保留尾隨空白"
"0xc7054","%s%2s","","純格式符"
"0xc705a","%s %2s","","純格式符"
"0xc7065","Duty %10s","任務 %10s",""
"0xc7094","Occupy ","佔領 ",""
"0xc709c","Defend ","防衛 ",""
"0xc70a4","Destroy","殲滅","Destroy=殲滅"
"0xc70bf","Both","雙方",""
"0xc70ce","C7%d. %-11s %-7s %s","","C7 控制碼+純格式符，留空"
"0xc70e2","  Fleet  ","  艦隊  ",""
"0xc70ec","   Base  ","   基地  ",""
"0xc70f6","Navy A.F.","海軍航空","A.F.=航空隊；全譯超長故簡化"
"0xc7100"," Marines "," 陸戰隊 ",""
"0xc710a","Army A.F.","陸軍航空","同上簡化"
"0xc7114"," Division"," 師團","Division=師團"
"0xc711e","Submarine","潛艇",""
"0xc7172","%02d","","純格式符"
"0xc7185","%02d","","純格式符"
"0xc7198","%02d","","純格式符"
"0xc71ab","%02d","","純格式符"
"0xc71f2","B1%-10s","","B1 控制碼+純格式符，留空"
"0xc7202","%14s","","純格式符"
"0xc7207","%-12s","","純格式符"
"0xc720d","Aircraft%6d","飛機%6d",""
"0xc7219","Scout%9d","偵察%9d","Scout=偵察機，簡化"
"0xc7222","None","無",""
"0xc7227","Duty %9s","任務 %9s",""
"0xc7230","Pts. %7d/8","點數 %7d/8",""
"0xc723f","Pts. %9s","點數 %9s",""
"0xc7248","Carrier%7d","空母%7d","航空母艦超長，依介面慣例簡作空母"
"0xc7253","%-10s%4d","","純格式符"
"0xc725c","Cruiser%7d","巡洋艦%7d",""
"0xc7267","%-10s%4d","","純格式符"
"0xc7270","Enemy ships%3d","敵艦數%3d",""
"0xc7282","With","附屬","With ... carrier 語境"
"0xc7287","%s carrier.","%s空母。","同上簡作空母"
"0xc7297","B1%4s Fleet","B1%4s 艦隊","B1 保留"
"0xc72a3","(%s Navy)","(%s海軍)",""
"0xc72ad","%-12s","","純格式符"
"0xc72b3","%3d-%3d","","純格式符"
"0xc72bb","Pos. %9s","位置 %9s",""
"0xc72c4","Complete","完成",""
"0xc72cd","Repairing","修理中",""
"0xc72d7","Harbor is full","港口已滿",""
"0xc72e6","%d day%s","%d 天%s",""
"0xc72ef","Spd.%4d knot%s","航速%4d 節%s",""
"0xc72fe","Mat'l%8d%%","資材%8d%%",""
"0xc7309","None","無",""
"0xc730e","%s %2s","","純格式符"
"0xc7318","Duty %9s","任務 %9s",""
"0xc7321","Pts. %6d/%2d","點數 %6d/%2d",""
"0xc733e","Move","移動",""
"0xc7343","Plan","計畫",""
"0xc7348","%s %s Phase","%s %s 階段",""
"0xc7364","Canceled advancing the game.","已取消遊戲進行。",""
"0xc7384"," CONFIRM"," 確認",""
"0xc739c","B0%-45s","","B0 控制碼+純格式符，留空"
"0xc73a8","B0%-39s","","B0 控制碼+純格式符，留空"
"0xc73c0","What will you do?","您要如何行動？",""
"0xc73d2","Which %s will you command?","您要指揮哪支%s？",""
"0xc73ee","Select the orders for the %s.","請選擇%s的命令。",""
"0xc740c","Select your orders.","請選擇命令。",""
"0xc7445","B1%-12s","","B1 控制碼+純格式符，留空"
"0xc7468","%s's home port was occupied!","%s的母港已被佔領！",""
"0xc7485","post","據點",""
"0xc748a","base","基地",""
"0xc748f","post","據點",""
"0xc7494","base","基地",""
"0xc7499","You cannot %s due to the %s.","因%s而無法%s。",""
"0xc74b6","do anything","採取行動",""
"0xc74c2","deploy aircraft","部署航空隊",""
"0xc74f6","Give your orders to the %s.","請對%s下達命令。",""
"0xc7513","%d. %s","","純格式符"
"0xc751a","Imperial HQ","大本營","Imperial HQ"
"0xc7526","War Dept.","陸軍省","War Dept."
"0xc7537","M4%s","","M4 控制碼+純格式符，留空"
"0xc753c","%s Fleet","%s艦隊",""
"0xc7545","%2d/%2d/%4d","","純格式符"
"0xc7551","%s Base","%s基地",""
"0xc755a","R%c%s","","R 控制碼+純格式符，留空"
"0xc7560","the area %d-%d","第%d-%d區域",""
"0xc7570","R%c%s","","R 控制碼+純格式符，留空"
"0xc757a","Canceling orders.","取消命令中。",""
"0xc758c"," DUTY "," 任務 ",""
"0xc7593"," CANCEL "," 取消 ",""
"0xc759c"," ENTER "," 確定 ",""
"0xc75cf","base air force","基地航空隊",""
"0xc7608","%d. %s","","純格式符"
"0xc760f","Imperial HQ","大本營",""
"0xc761b","War Dept.","陸軍省",""
"0xc762c","M4%-12s","","M4 控制碼+純格式符，留空"
"0xc7634","%-12s","","純格式符"
"0xc763a","%2d/%2d/%4d","","純格式符"
"0xc7646","%s Base","%s基地",""
"0xc764f","R%c%s","","R 控制碼+純格式符，留空"
"0xc7656","R%c%s","","R 控制碼+純格式符，留空"
"0xc7661","%d. %6s","","純格式符"
"0xc7669"," Base A.F."," 基地航空","A.F. 簡化"
"0xc7674","Imperial HQ","大本營",""
"0xc7680","War Dept.","陸軍省",""
"0xc7691","M4%s","","M4 控制碼+純格式符，留空"
"0xc7696","%-16s","","純格式符"
"0xc769c","%2d/%2d/%4d","","純格式符"
"0xc76a8","%-30s","","純格式符"
"0xc76ae","%-30s","","純格式符"
"0xc76dd","Q%d.%s","","Q 控制碼+純格式符，留空"
"0xc76e4","Imperial HQ","大本營",""
"0xc76f0","War Dept.","陸軍省",""
"0xc7701","M4%s","","M4 控制碼+純格式符，留空"
"0xc7706","%s %6s","","純格式符"
